136913	Misses
3260477	Requests

Directory
Continuous	415.987	50.7695
Random		463.324	2.18359
Trace		8509.17	152.534
DB Raw
Continuous	213.082	8.44102
Random		266.929	1.48136
Trace		4401.58	11.5646
DB RAM
Continuous	184.78	5.94658
Random		236.494	2.01084
Trace		2615.1	79.648
DB Cache	(15000 Entries)
Continuous	368.421	2.71641	100
Random		425.408	2.12448	100
Trace		3500.56	67.9142	28.9818
DB Cache	(20000 Entries)
Continuous	369.366	2.51516	100
Random		422.052	1.24219	100
Trace		3145.07	14.7777	26.1906
DB Cache	(25000 Entries)
Continuous	403.752	5.12214	100
Random		460.846	4.8402	100
Trace		3137.81	10.5707	23.8647


